2020/22, 35, 0.00080668, 0.99919332, 98642, 80, 98602, 4355383, 44.15, 0.00045554, 0.99954446, 99162, 45, 99139, 4834731, 48.76
2020/22, 36, 0.00091664, 0.99908336, 98562, 90, 98517, 4256781, 43.19, 0.00045558, 0.99954442, 99117, 45, 99094, 4735592, 47.78
2020/22, 37, 0.00106314, 0.99893686, 98472, 105, 98420, 4158264, 42.23, 0.00052038, 0.99947962, 99072, 52, 99046, 4636497, 46.80
2020/22, 38, 0.00111217, 0.99888783, 98367, 109, 98313, 4059844, 41.27, 0.00059299, 0.99940701, 99020, 59, 98991, 4537451, 45.82
2020/22, 39, 0.00119615, 0.99880385, 98258, 118, 98199, 3961531, 40.32, 0.00064714, 0.99935286, 98961, 64, 98929, 4438461, 44.85
2020/22, 40, 0.00130792, 0.99869208, 98141, 128, 98076, 3863332, 39.37, 0.00066068, 0.99933932, 98897, 65, 98865, 4339531, 43.88
2020/22, 41, 0.00140411, 0.99859589, 98012, 138, 97943, 3765256, 38.42, 0.00077981, 0.99922019, 98832, 77, 98793, 4240667, 42.91
2020/22, 42, 0.00153203, 0.99846797, 97875, 150, 97800, 3667312, 37.47, 0.00082241, 0.99917759, 98755, 81, 98714, 4141873, 41.94
2020/22, 43, 0.00172399, 0.99827601, 97725, 168, 97640, 3569513, 36.53, 0.00094293, 0.99905707, 98674, 93, 98627, 4043159, 40.98
2020/22, 44, 0.00186540, 0.99813460, 97556, 182, 97465, 3471873, 35.59, 0.00100448, 0.99899552, 98581, 99, 98531, 3944531, 40.01
2020/22, 45, 0.00195841, 0.99804159, 97374, 191, 97279, 3374407, 34.65, 0.00106558, 0.99893442, 98482, 105, 98429, 3846000, 39.05
2020/22, 46, 0.00215419, 0.99784581, 97183, 209, 97079, 3277129, 33.72, 0.00120986, 0.99879014, 98377, 119, 98317, 3747571, 38.09
2020/22, 47, 0.00239743, 0.99760257, 96974, 232, 96858, 3180050, 32.79, 0.00129181, 0.99870819, 98258, 127, 98194, 3649254, 37.14
2020/22, 48, 0.00267387, 0.99732613, 96742, 259, 96612, 3083192, 31.87, 0.00157601, 0.99842399, 98131, 155, 98053, 3551060, 36.19
2020/22, 49, 0.00305454, 0.99694546, 96483, 295, 96336, 2986580, 30.95, 0.00169742, 0.99830258, 97976, 166, 97893, 3453006, 35.24
2020/22, 50, 0.00340414, 0.99659586, 96188, 327, 96024, 2890244, 30.05, 0.00186063, 0.99813937, 97810, 182, 97719, 3355113, 34.30
2020/22, 51, 0.00373416, 0.99626584, 95861, 358, 95682, 2794220, 29.15, 0.00202667, 0.99797333, 97628, 198, 97529, 3257394, 33.37
2020/22, 52, 0.00413115, 0.99586885, 95503, 395, 95306, 2698538, 28.26, 0.00218541, 0.99781459, 97430, 213, 97324, 3159865, 32.43
2020/22, 53, 0.00449452, 0.99550548, 95108, 427, 94895, 2603232, 27.37, 0.00245066, 0.99754934, 97217, 238, 97098, 3062542, 31.50
2020/22, 54, 0.00501542, 0.99498458, 94681, 475, 94443, 2508338, 26.49, 0.00277904, 0.99722096, 96979, 270, 96844, 2965444, 30.58
2020/22, 55, 0.00574798, 0.99425202, 94206, 541, 93935, 2413894, 25.62, 0.00304715, 0.99695285, 96709, 295, 96562, 2868600, 29.66
2020/22, 56, 0.00637257, 0.99362743, 93664, 597, 93366, 2319959, 24.77, 0.00333151, 0.99666849, 96415, 321, 96254, 2772038, 28.75
2020/22, 57, 0.00700621, 0.99299379, 93068, 652, 92742, 2226593, 23.92, 0.00371428, 0.99628572, 96093, 357, 95915, 2675784, 27.85
2020/22, 58, 0.00787263, 0.99212737, 92416, 728, 92052, 2133852, 23.09, 0.00413417, 0.99586583, 95736, 396, 95539, 2579869, 26.95
2020/22, 59, 0.00871581, 0.99128419, 91688, 799, 91288, 2041800, 22.27, 0.00461231, 0.99538769, 95341, 440, 95121, 2484330, 26.06
2020/22, 60, 0.00976864, 0.99023136, 90889, 888, 90445, 1950512, 21.46, 0.00520571, 0.99479429, 94901, 494, 94654, 2389210, 25.18
2020/22, 61, 0.01086697, 0.98913303, 90001, 978, 89512, 1860067, 20.67, 0.00562128, 0.99437872, 94407, 531, 94142, 2294556, 24.30
2020/22, 62, 0.01195156, 0.98804844, 89023, 1064, 88491, 1770555, 19.89, 0.00618415, 0.99381585, 93876, 581, 93586, 2200414, 23.44
2020/22, 63, 0.01315673, 0.98684327, 87959, 1157, 87380, 1682064, 19.12, 0.00687641, 0.99312359, 93296, 642, 92975, 2106828, 22.58
2020/22, 64, 0.01450329, 0.98549671, 86802, 1259, 86172, 1594683, 18.37, 0.00759388, 0.99240612, 92654, 704, 92302, 2013853, 21.74
